Time[s],Packet ID,Address,Read/Write,Data
16.4097732000,1495,0x52,W,0x04 0x0A
16.4099080150,1495,0x53,R,0xFF
16.4207577500,1496,0x52,W,0x04 0x0A
16.4208923550,1496,0x53,R,0xFF
16.4377680750,1497,0x52,W,0x00 0x1A
16.4379029100,1497,0x53,R,0xFF
16.4437587900,1498,0x52,W,0x01 0xDC
16.4438936100,1498,0x53,R,0xFF
16.4497594200,1499,0x52,W,0x00 0x0A
16.4498943500,1499,0x53,R,0xFF
16.4557570650,1500,0x52,W,0x80 0xFF
16.4558916650,1500,0x53,R,0xFF
16.4617566150,1501,0x52,W,0x00 0x0B
16.4618916550,1501,0x53,R,0xFF
16.4678149600,1502,0x52,W,0x02 0x1C
16.4679495500,1502,0x53,R,0xFF
16.4737596900,1503,0x52,W,0x00 0x0C 0xA9 0xFF
16.4947594300,1504,0x52,W,0x00 0x0C
16.4948941500,1504,0x53,R,0xFF
16.5007875750,1505,0x52,W,0x02 0x3C
16.5009223900,1505,0x53,R,0xFF
16.5217579900,1506,0x52,W,0x02 0x3C
16.5218924800,1506,0x53,R,0xFF
16.7287624500,1507,0x52,W,0x00 0x1A
16.7288974750,1507,0x53,R,0xFF
16.7347775850,1508,0x52,W,0x01 0xDC
16.7349120900,1508,0x53,R,0xFF
16.7467753900,1509,0x52,W,0x00 0x0A 0xA9 0xFF
16.7527616550,1510,0x52,W,0x01 0xFC
16.7528964900,1510,0x53,R,0xFF
16.7647717550,1511,0x52,W,0x00 0x0B
16.7649061550,1511,0x53,R,0xFF
16.7711094400,1512,0x52,W,0x02 0x1C
16.7712439300,1512,0x53,R,0xFF
16.7827686300,1513,0x52,W,0x00 0x0C
16.7829034550,1513,0x53,R,0xFF
16.8037606800,1514,0x52,W,0x00 0x0C
16.8038957200,1514,0x53,R,0xFF
16.8100098400,1515,0x52,W,0x02 0x3C
16.8101443450,1515,0x53,R,0xFF
16.8307611600,1516,0x52,W,0x02 0x3C
16.8308960950,1516,0x53,R,0xFF
16.8370142550,1517,0x52,W,0x04 0x0A
16.8371490850,1517,0x53,R,0xFF
16.8477733150,1518,0x52,W,0x04 0x0A
16.8479082500,1518,0x53,R,0xFF
16.8587594550,1519,0x52,W,0x04 0x0A
16.8588942750,1519,0x53,R,0xFF
16.8757739800,1520,0x52,W,0x00 0x1A
16.8759088000,1520,0x53,R,0xFF
16.8820078700,1521,0x52,W,0x01 0xDC
16.8821427950,1521,0x53,R,0xFF
16.8880148900,1522,0x52,W,0x00 0x0A 0xA9 0xFF
16.8940049650,1523,0x52,W,0x01 0xFC
16.8941398950,1523,0x53,R,0xFF
16.8997608000,1524,0x52,W,0x00 0x0B
16.8998955200,1524,0x53,R,0xFF
16.9057587550,1525,0x52,W,0x02 0x1C
16.9058934800,1525,0x53,R,0xFF
16.9117597050,1526,0x52,W,0x00 0x0C
16.9118948500,1526,0x53,R,0xFF
16.9327605200,1527,0x52,W,0x00 0x0C
16.9328951300,1527,0x53,R,0xFF
16.9387927100,1528,0x52,W,0x02 0x3C
16.9389277550,1528,0x53,R,0xFF
16.9597593850,1529,0x52,W,0x02 0x3C 0xA9 0xFF
17.1667860500,1530,0x52,W,0x00 0x1A
17.1669205450,1530,0x53,R,0xFF
17.1727632150,1531,0x52,W,0x01 0xDC
17.1728979300,1531,0x53,R,0xFF
17.1847635100,1532,0x52,W,0x00 0x0A
17.1848984400,1532,0x53,R,0xFF
17.1907627400,1533,0x52,W,0x01 0xFC
17.1908974700,1533,0x53,R,0xFF
17.2027738000,1534,0x52,W,0x00 0x0B
17.2029087400,1534,0x53,R,0xFF
17.2087629200,1535,0x52,W,0x02 0x1C
17.2088974200,1535,0x53,R,0xFF
17.2207842200,1536,0x52,W,0x00 0x0C
17.2209188300,1536,0x53,R,0xFF
17.2417753100,1537,0x52,W,0x00 0x0C
17.2419100400,1537,0x53,R,0xFF
17.2477604850,1538,0x52,W,0x02 0x3C
17.2478954150,1538,0x53,R,0xFF
17.2687618350,1539,0x52,W,0x02 0x3C
17.2688962200,1539,0x53,R,0xFF
17.2747753700,1540,0x52,W,0x02 0x85
17.2749100700,1540,0x53,R,0xFF
17.2857778250,1541,0x52,W,0x04 0x0A
17.2859125300,1541,0x53,R,0xFF
17.2967753900,1542,0x52,W,0x04 0x0A
17.2969102050,1542,0x53,R,0xFF
17.3137762350,1543,0x52,W,0x00 0x1A
17.3139109600,1543,0x53,R,0xFF
17.3200145200,1544,0x52,W,0x01 0xDC
17.3201489050,1544,0x53,R,0xFF
17.3257631050,1545,0x52,W,0x00 0x85
17.3258979250,1545,0x53,R,0xFF
